FPR	SVM CV TPR AUC = 0.9649 (+/- 0.0077)	RF CV TPR AUC = 0.9491 (+/- 0.0102)	MLP CV TPR AUC = 0.9604 (+/- 0.0091)	SVM blind TPR AUC = 0.9327	RF blind TPR AUC = 0.9269	MLP blind TPR AUC = 0.935
0	0	0	0	0	0.695238095238095	0.20952380952381
0.0101010101010101	0.65180412371134	0.620897766323024	0.540249140893471	0.0380952380952381	0.695238095238095	0.276190476190476
0.0202020202020202	0.749463058419244	0.737910028116214	0.666752577319588	0.142857142857143	0.761904761904762	0.523809523809524
0.0303030303030303	0.879875429553265	0.751302327397688	0.735115979381443	0.361904761904762	0.80952380952381	0.59047619047619
0.0404040404040404	0.881937285223368	0.796928694158076	0.855304982817869	0.466666666666667	0.828571428571429	0.657142857142857
0.0505050505050505	0.89643470790378	0.805197594501718	0.871799828178694	0.723809523809524	0.828571428571429	0.714285714285714
0.0606060606060606	0.902620274914089	0.809342783505155	0.88210910652921	0.723809523809524	0.828571428571429	0.723809523809524
0.0707070707070707	0.906786941580756	0.8317791315214	0.886232817869416	0.771428571428571	0.828571428571429	0.771428571428571
0.0808080808080808	0.917096219931272	0.83998555139019	0.90893470790378	0.79047619047619	0.828571428571429	0.80952380952381
0.0909090909090909	0.919158075601375	0.850837628865979	0.90893470790378	0.8	0.866666666666667	0.80952380952381
0.101010101010101	0.927448453608247	0.859128006872852	0.915120274914089	0.80952380952381	0.866666666666667	0.838095238095238
0.111111111111111	0.931615120274914	0.872661321114929	0.921327319587629	0.828571428571429	0.866666666666667	0.847619047619048
0.121212121212121	0.937843642611684	0.879789518900343	0.931679553264605	0.847619047619048	0.866666666666667	0.857142857142857
0.131313131313131	0.939905498281787	0.879789518900343	0.931679553264605	0.847619047619048	0.866666666666667	0.857142857142857
0.141414141414141	0.946134020618557	0.893746745808601	0.935803264604811	0.847619047619048	0.866666666666667	0.876190476190476
0.151515151515152	0.94821735395189	0.894329896907217	0.939948453608248	0.857142857142857	0.866666666666667	0.904761904761905
0.161616161616162	0.94821735395189	0.904682130584192	0.942010309278351	0.866666666666667	0.875901875901876	0.904761904761905
0.171717171717172	0.94821735395189	0.908805841924399	0.946155498281787	0.914285714285714	0.876190476190476	0.914285714285714
0.181818181818182	0.952362542955327	0.917074742268041	0.946155498281787	0.952380952380952	0.876190476190476	0.914285714285714
0.191919191919192	0.952362542955327	0.917074742268041	0.950322164948454	0.971428571428571	0.885714285714286	0.914285714285714
0.202020202020202	0.952362542955327	0.919136597938144	0.95444587628866	0.971428571428571	0.895238095238095	0.914285714285714
0.212121212121212	0.956486254295533	0.921198453608247	0.956507731958763	0.971428571428571	0.895238095238095	0.914285714285714
0.222222222222222	0.962693298969072	0.93573883161512	0.956507731958763	0.971428571428571	0.895238095238095	0.914285714285714
0.232323232323232	0.962693298969072	0.93573883161512	0.958569587628866	0.971428571428571	0.895238095238095	0.923809523809524
0.242424242424242	0.962693298969072	0.940442114443403	0.958569587628866	0.980952380952381	0.895238095238095	0.923809523809524
0.252525252525252	0.962693298969072	0.941462737339026	0.958569587628866	0.980952380952381	0.895238095238095	0.923809523809524
0.262626262626263	0.962693298969072	0.94198883161512	0.962736254295533	0.980952380952381	0.895238095238095	0.923809523809524
0.272727272727273	0.962693298969072	0.944050687285223	0.964819587628866	0.980952380952381	0.898268398268398	0.923809523809524
0.282828282828283	0.962693298969072	0.944050687285223	0.964819587628866	0.980952380952381	0.903318903318903	0.923809523809524
0.292929292929293	0.962693298969072	0.946134020618557	0.966881443298969	0.980952380952381	0.904761904761905	0.923809523809524
0.303030303030303	0.962693298969072	0.950300687285223	0.966881443298969	0.980952380952381	0.904761904761905	0.923809523809524
0.313131313131313	0.966838487972508	0.955224495817279	0.973088487972509	0.980952380952381	0.904761904761905	0.942857142857143
0.323232323232323	0.968921821305842	0.958591065292096	0.973088487972509	0.980952380952381	0.904761904761905	0.942857142857143
0.333333333333333	0.968921821305842	0.95893470790378	0.973088487972509	0.980952380952381	0.904761904761905	0.942857142857143
0.343434343434343	0.968921821305842	0.964111475580548	0.973088487972509	0.980952380952381	0.904761904761905	0.942857142857143
0.353535353535354	0.968921821305842	0.966881443298969	0.975150343642612	0.980952380952381	0.904761904761905	0.942857142857143
0.363636363636364	0.968921821305842	0.966881443298969	0.977233676975945	0.980952380952381	0.904761904761905	0.942857142857143
0.373737373737374	0.973088487972509	0.968964776632302	0.979295532646048	0.980952380952381	0.907070707070707	0.952380952380952
0.383838383838384	0.973088487972509	0.973088487972509	0.979295532646048	0.980952380952381	0.914285714285714	0.952380952380952
0.393939393939394	0.975150343642612	0.977212199312715	0.981357388316151	0.980952380952381	0.914285714285714	0.961904761904762
0.404040404040404	0.975150343642612	0.977212199312715	0.983419243986254	0.980952380952381	0.914285714285714	0.961904761904762
0.414141414141414	0.975150343642612	0.977212199312715	0.983419243986254	0.980952380952381	0.914285714285714	0.971428571428571
0.424242424242424	0.977212199312715	0.977212199312715	0.983419243986254	0.980952380952381	0.914285714285714	0.971428571428571
0.434343434343434	0.979295532646048	0.979295532646048	0.983419243986254	0.990476190476191	0.914285714285714	0.971428571428571
0.444444444444444	0.979295532646048	0.979295532646048	0.985502577319588	0.990476190476191	0.914285714285714	0.971428571428571
0.454545454545455	0.985524054982818	0.979295532646048	0.985502577319588	0.990476190476191	0.917748917748918	0.980952380952381
0.464646464646465	0.985524054982818	0.979295532646048	0.987585910652921	0.990476190476191	0.922799422799423	0.980952380952381
0.474747474747475	0.985524054982818	0.981357388316151	0.987585910652921	0.990476190476191	0.923809523809524	0.980952380952381
0.484848484848485	0.987607388316151	0.981357388316151	0.987585910652921	0.990476190476191	0.933333333333333	0.980952380952381
0.494949494949495	0.987607388316151	0.981357388316151	0.987585910652921	0.990476190476191	0.933333333333333	0.980952380952381
0.505050505050505	0.987607388316151	0.981357388316151	0.987585910652921	0.990476190476191	0.933333333333333	0.990476190476191
0.515151515151515	0.987607388316151	0.983419243986254	0.987585910652921	0.990476190476191	0.933333333333333	0.990476190476191
0.525252525252525	0.987607388316151	0.983419243986254	0.987585910652921	0.990476190476191	0.933333333333333	0.990476190476191
0.535353535353535	0.987607388316151	0.983419243986254	0.987585910652921	0.990476190476191	0.933333333333333	0.990476190476191
0.545454545454546	0.987607388316151	0.983419243986254	0.987585910652921	0.990476190476191	0.933333333333333	0.990476190476191
0.555555555555556	0.989669243986254	0.985481099656357	0.987585910652921	0.990476190476191	0.933333333333333	0.990476190476191
0.565656565656566	0.989669243986254	0.985481099656357	0.987585910652921	0.990476190476191	0.942857142857143	0.990476190476191
0.575757575757576	0.989669243986254	0.987248776424034	0.991731099656357	0.990476190476191	0.942857142857143	0.990476190476191
0.585858585858586	0.989669243986254	0.987564432989691	0.991731099656357	0.990476190476191	0.942857142857143	0.990476190476191
0.595959595959596	0.989669243986254	0.987564432989691	0.991731099656357	0.990476190476191	0.942857142857143	0.990476190476191
0.606060606060606	0.989669243986254	0.987564432989691	0.991731099656357	0.990476190476191	0.942857142857143	0.990476190476191
0.616161616161616	0.989669243986254	0.987564432989691	0.991731099656357	0.990476190476191	0.942857142857143	0.990476190476191
0.626262626262626	0.989669243986254	0.987564432989691	0.991731099656357	0.990476190476191	0.942857142857143	0.990476190476191
0.636363636363636	0.991731099656358	0.989835207747579	0.99379295532646	0.990476190476191	0.942857142857143	0.990476190476191
0.646464646464646	0.993792955326461	0.991709621993127	0.99379295532646	0.990476190476191	0.951226551226551	0.990476190476191
0.656565656565657	0.993792955326461	0.991709621993127	0.99379295532646	0.990476190476191	0.952380952380952	0.990476190476191
0.666666666666667	0.993792955326461	0.991709621993127	0.99379295532646	0.990476190476191	0.973809523809524	1
0.676767676767677	0.993792955326461	0.991709621993127	0.99379295532646	0.990476190476191	0.976334776334776	1
0.686868686868687	0.993792955326461	0.991709621993127	0.99379295532646	0.990476190476191	0.978860028860029	1
0.696969696969697	0.993792955326461	0.991709621993127	0.99379295532646	1	0.980952380952381	1
0.707070707070707	0.993792955326461	0.991709621993127	0.99379295532646	1	0.980952380952381	1
0.717171717171717	0.993792955326461	0.993459075288972	0.99379295532646	1	0.980952380952381	1
0.727272727272727	0.993792955326461	0.99377147766323	0.99379295532646	1	0.980952380952381	1
0.737373737373737	0.995876288659794	0.99377147766323	0.99379295532646	1	0.980952380952381	1
0.747474747474748	0.995876288659794	0.99377147766323	0.99379295532646	1	0.980952380952381	1
0.757575757575758	0.995876288659794	0.99377147766323	0.99379295532646	1	0.980952380952381	1
0.767676767676768	0.995876288659794	0.995833333333333	0.995854810996564	1	0.980952380952381	1
0.777777777777778	0.995876288659794	0.995833333333333	0.995854810996564	1	0.980952380952381	1
0.787878787878788	0.997938144329897	0.995833333333333	0.995854810996564	1	0.980952380952381	1
0.797979797979798	1	0.995833333333333	0.997938144329897	1	0.990476190476191	1
0.808080808080808	1	0.997916666666667	0.997938144329897	1	0.990476190476191	1
0.818181818181818	1	0.997916666666667	0.997938144329897	1	0.990476190476191	1
0.828282828282828	1	0.997916666666667	0.997938144329897	1	0.990476190476191	1
0.838383838383838	1	0.997916666666667	0.997938144329897	1	0.990476190476191	1
0.848484848484848	1	1	0.997938144329897	1	0.990476190476191	1
0.858585858585859	1	1	0.997938144329897	1	0.990476190476191	1
0.868686868686869	1	1	0.997938144329897	1	0.990476190476191	1
0.878787878787879	1	1	0.997938144329897	1	0.990476190476191	1
0.888888888888889	1	1	1	1	0.990476190476191	1
0.898989898989899	1	1	1	1	0.990476190476191	1
0.909090909090909	1	1	1	1	1	1
0.919191919191919	1	1	1	1	1	1
0.929292929292929	1	1	1	1	1	1
0.939393939393939	1	1	1	1	1	1
0.94949494949495	1	1	1	1	1	1
0.95959595959596	1	1	1	1	1	1
0.96969696969697	1	1	1	1	1	1
0.97979797979798	1	1	1	1	1	1
0.98989898989899	1	1	1	1	1	1
1	1	1	1	1	1	1
